[Sun Jan 08 06:25:04.127215 2023] [mpm_prefork:notice] [pid 117] AH00163: Apache/2.4.7 (Ubuntu) PHP/5.5.9-1ubuntu4.29 configured -- resuming normal operations
[Sun Jan 08 06:25:04.127876 2023] [core:notice] [pid 117] AH00094: Command line: '/usr/sbin/apache2'
[Sun Jan 08 14:28:59.232831 2023] [:error] [pid 2075] [client 172.18.0.1:63854] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.233115 2023] [:error] [pid 2079] [client 172.18.0.1:63862] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.234215 2023] [:error] [pid 2077] [client 172.18.0.1:63850] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.234711 2023] [:error] [pid 2075] [client 172.18.0.1:63854] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.235020 2023] [:error] [pid 2079] [client 172.18.0.1:63862] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.235665 2023] [:error] [pid 2077] [client 172.18.0.1:63850] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.360991 2023] [:error] [pid 2077] [client 172.18.0.1:63850] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.361675 2023] [:error] [pid 2077] [client 172.18.0.1:63850] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.397740 2023] [:error] [pid 2077] [client 172.18.0.1:63850] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.399248 2023] [:error] [pid 2077] [client 172.18.0.1:63850] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.403821 2023] [:error] [pid 2079] [client 172.18.0.1:63862] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.404521 2023] [:error] [pid 2079] [client 172.18.0.1:63862] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.409144 2023] [:error] [pid 2075] [client 172.18.0.1:63854] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.409806 2023] [:error] [pid 2075] [client 172.18.0.1:63854] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.414051 2023] [:error] [pid 2077] [client 172.18.0.1:63850] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.414565 2023] [:error] [pid 2077] [client 172.18.0.1:63850] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.419579 2023] [:error] [pid 2079] [client 172.18.0.1:63862] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.420089 2023] [:error] [pid 2079] [client 172.18.0.1:63862] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.425930 2023] [:error] [pid 2077] [client 172.18.0.1:63850] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.426576 2023] [:error] [pid 2077] [client 172.18.0.1:63850] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.431395 2023] [:error] [pid 2079] [client 172.18.0.1:63862] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.431914 2023] [:error] [pid 2079] [client 172.18.0.1:63862] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.438499 2023] [:error] [pid 2075] [client 172.18.0.1:63854] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.439074 2023] [:error] [pid 2075] [client 172.18.0.1:63854] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.445545 2023] [:error] [pid 2079] [client 172.18.0.1:63862] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.446049 2023] [:error] [pid 2079] [client 172.18.0.1:63862] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.451144 2023] [:error] [pid 2075] [client 172.18.0.1:63854] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.451692 2023] [:error] [pid 2075] [client 172.18.0.1:63854] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.458420 2023] [:error] [pid 2079] [client 172.18.0.1:63862] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.458882 2023] [:error] [pid 2079] [client 172.18.0.1:63862] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.466222 2023] [:error] [pid 2075] [client 172.18.0.1:63854] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.466712 2023] [:error] [pid 2075] [client 172.18.0.1:63854] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.471403 2023] [:error] [pid 2079] [client 172.18.0.1:63862] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.471912 2023] [:error] [pid 2079] [client 172.18.0.1:63862] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.477233 2023] [:error] [pid 2075] [client 172.18.0.1:63854] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.477670 2023] [:error] [pid 2075] [client 172.18.0.1:63854] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.483032 2023] [:error] [pid 2079] [client 172.18.0.1:63862] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.483529 2023] [:error] [pid 2079] [client 172.18.0.1:63862] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.488514 2023] [:error] [pid 2075] [client 172.18.0.1:63854] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.489021 2023] [:error] [pid 2075] [client 172.18.0.1:63854] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.495114 2023] [:error] [pid 2079] [client 172.18.0.1:63862] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.496685 2023] [:error] [pid 2079] [client 172.18.0.1:63862] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.506113 2023] [:error] [pid 2075] [client 172.18.0.1:63854] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 14:28:59.506724 2023] [:error] [pid 2075] [client 172.18.0.1:63854] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 14:33:03.457742 2023] [:error] [pid 2081] [client 172.18.0.1:61914] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 14:33:03.459124 2023] [:error] [pid 2081] [client 172.18.0.1:61914] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 14:33:03.461947 2023] [:error] [pid 2080] [client 172.18.0.1:61926] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 14:33:03.463276 2023] [:error] [pid 2080] [client 172.18.0.1:61926] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:14:44.586593 2023] [:error] [pid 2279] [client 172.18.0.1:57268] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:14:44.588224 2023] [:error] [pid 2279] [client 172.18.0.1:57268] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.469985 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.471652 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.517066 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.517611 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.530153 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.530624 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.541311 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: query in /var/www/html/php/api/index.php on line 16, referer: http://localhost:3000/
[Sun Jan 08 17:56:26.541799 2023] [:error] [pid 2281] [client 172.18.0.1:61578] PHP Notice:  Undefined index: callback in /var/www/html/php/api/index.php on line 28, referer: http://localhost:3000/
